leaves,trees,FP_type,learn_rate,state,depth,subsample,colsample_bylevel,accuracy_train,accuracy_test,actual_test_size
13,600,6,0.11,2,9,0.73,0.8,0.9767,0.4378,0.202
10,700,6,0.1,3,7,0.52,0.71,0.9588,0.5724,0.2169
13,700,6,0.05,3,8,0.86,0.72,0.9363,0.561,0.2169
4,500,6,0.11,3,8,0.64,0.84,0.9668,0.5627,0.2169
10,600,6,0.08,3,10,0.81,0.46,0.9643,0.5621,0.2169
25,700,6,0.11,2,9,0.43,0.41,0.955,0.474,0.202
7,600,6,0.08,2,7,0.84,0.61,0.9478,0.4839,0.202
7,500,6,0.1,3,7,0.57,0.86,0.9531,0.5557,0.2169
13,600,6,0.05,1,9,0.76,0.48,0.9255,0.5351,0.1983
4,600,6,0.08,1,10,0.2,0.76,0.9218,0.5304,0.1983
7,600,6,0.08,2,9,0.81,0.48,0.9633,0.4766,0.202
10,500,6,0.11,2,10,0.37,0.54,0.956,0.4716,0.202
10,500,6,0.11,3,10,0.84,0.52,0.9711,0.5443,0.2169
13,600,6,0.05,2,7,0.87,0.52,0.9129,0.4855,0.202
