min_CNLs,consensus_thres,consensus_alg,random_seed,tree,learn_rate,depth,accuracy_train,accuracy_test
0,0.2,removal,1,1300,0.15,6,0.9662173409202146,0.06342206760103064
0,0.25,removal,3,400,0.12,6,0.886769936461682,0.18168941424618812
3,0.2,removal,1,600,0.1,6,0.9472578184565831,0.20227422393798855
2,0.1,replacement,1,1600,0.12,4,0.9759284904310298,0.12893072140226391
1,0.0,replacement,3,1000,0.15,10,0.978521043048131,0.1779784670766532
2,0.25,removal,3,400,0.12,10,0.9424225279722152,0.3269314844708402
0,0.1,removal,3,600,0.15,10,0.9509691297677243,0.07583053680379159
2,0.0,replacement,3,800,0.12,8,0.9672328624116836,0.30570111101988184
3,0.1,replacement,2,400,0.05,10,0.9146187704019795,0.3735173730642031
3,0.1,removal,3,800,0.1,6,0.958458767439919,0.3810576987394546
3,0.25,replacement,2,1000,0.1,4,0.9431654135690156,0.3078453945176618
2,0.2,replacement,1,1000,0.05,4,0.872545941003205,0.1966011299259509
1,0.0,removal,2,800,0.05,6,0.89361820640657,0.3517303574612298
3,0.1,replacement,3,1600,0.1,10,0.9985446411451073,0.33953801933401007
3,0.0,removal,1,1000,0.05,10,0.9502259908696203,0.249646254735145
2,0.2,replacement,2,1600,0.08,6,0.9916344686876678,0.2970182271914493
1,0.1,replacement,3,400,0.12,6,0.9496972858717401,0.2642196467284965
0,0.0,replacement,3,600,0.05,4,0.7161212232554721,0.3649453591827194
0,0.2,replacement,2,400,0.05,10,0.87788939254506,0.3964123146135281
3,0.2,replacement,2,600,0.15,6,0.9870463132539794,0.3453937344138305
0,0.2,replacement,3,1600,0.15,8,0.9971859879834096,0.2585573488975439
2,0.2,replacement,3,600,0.08,10,0.9735761140599375,0.38584217771014406
0,0.25,removal,1,1000,0.1,8,0.9536142299381338,0.09888698924756956
0,0.2,removal,2,400,0.05,8,0.8131706845668907,0.4209545697699998
3,0.2,removal,2,800,0.12,4,0.9065766380049678,0.3496853081618396
1,0.1,replacement,1,800,0.1,4,0.9181440009666186,0.2528052408234631
3,0.0,replacement,3,800,0.08,10,0.9587093689380021,0.36106852426051916
1,0.1,removal,1,1600,0.12,10,0.9838345434944767,0.04231651248303725
1,0.1,replacement,1,400,0.12,6,0.9509828609709342,0.2748737601907896
0,0.2,replacement,3,400,0.15,10,0.972468722441023,0.2756425023936754
2,0.25,replacement,2,1600,0.12,8,0.9979526941854046,0.28320675972437814
2,0.2,replacement,2,1600,0.08,4,0.9557921697945744,0.25622350854704334
0,0.0,removal,3,600,0.12,4,0.8415561094418662,0.23357671546010617
1,0.25,replacement,2,1300,0.12,6,0.9910078136049466,0.22210131570232627
0,0.0,removal,2,800,0.08,4,0.8167727695592942,0.4119312992477908
1,0.2,replacement,2,1300,0.05,6,0.9650717857704733,0.2572347592876131
2,0.2,replacement,3,800,0.12,6,0.9862200062480464,0.35813755401158354
1,0.25,replacement,3,1600,0.12,4,0.9676624082518545,0.24592287979106797
1,0.2,replacement,2,400,0.05,10,0.8961736902566007,0.3237079106467028
