INCHIKEY,pH_aq,IE,IE_hat_CNL,class_CNL
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,2.4802300337142853,2.146722645465869,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,2.4802300337142853,2.146722645465869,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,2.4802300337142853,2.146722645465869,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,2.4802300337142853,2.143156687180016,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,2.4802300337142853,2.1397056551701765,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,2.4802300337142853,2.1439600253325337,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,2.4802300337142853,2.228213076253484,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,2.4802300337142853,2.2673868902689365,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,2.4802300337142853,2.0870887211851725,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,2.4802300337142853,2.044937154991572,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,2.4802300337142853,2.0257249174738847,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,2.4802300337142853,2.0542609233109115,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,2.4802300337142853,2.074320398999802,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,2.4802300337142853,2.1951977810234347,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,2.4802300337142853,2.0982208182193935,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,2.4802300337142853,2.1033504226695094,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,2.4802300337142853,2.164598076767683,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,2.4802300337142853,2.0535713798341986,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,2.4802300337142853,2.054398048334005,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,2.4802300337142853,2.054398048334005,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,2.4802300337142853,2.331337252702787,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,2.4802300337142853,2.331337252702787,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,2.4802300337142853,2.404960176846402,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,2.4802300337142853,2.6363400400508086,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,2.4802300337142853,2.570902109964594,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,2.4802300337142853,2.5728401106542043,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,2.9221428571428576,2.9795774226428575,2.515873038568899,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,2.9221428571428576,2.9795774226428575,2.515873038568899,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,2.9221428571428576,2.9795774226428575,2.515873038568899,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,2.9221428571428576,2.9795774226428575,2.515873038568899,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,2.9221428571428576,2.9795774226428575,2.515873038568899,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,2.9221428571428576,2.9795774226428575,2.4939963586067644,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,2.9221428571428576,2.9795774226428575,2.4939963586067644,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,2.9221428571428576,2.9795774226428575,2.554836331993894,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,2.9221428571428576,2.9795774226428575,2.554836331993894,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,2.9221428571428576,2.9795774226428575,2.554836331993894,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,2.9221428571428576,2.9795774226428575,2.554836331993894,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,2.9221428571428576,2.9795774226428575,2.5512703737080407,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,2.9221428571428576,2.9795774226428575,2.546193034015706,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,2.9221428571428576,2.9795774226428575,2.600474006521109,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,2.9221428571428576,2.9795774226428575,2.6612557757938764,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,2.9221428571428576,2.9795774226428575,2.7249090393619984,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,2.9221428571428576,2.9795774226428575,2.515873038568899,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,2.9221428571428576,2.9795774226428575,2.443044689431255,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,2.9221428571428576,2.9795774226428575,2.423552672076479,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,2.9221428571428576,2.9795774226428575,2.438711581544553,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,2.9221428571428576,2.9795774226428575,2.4587710572334434,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,2.9221428571428576,2.9795774226428575,2.5825358894925383,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,2.9221428571428576,2.9795774226428575,2.518106900180638,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,2.9221428571428576,2.9795774226428575,2.5233804842641296,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,2.9221428571428576,2.9795774226428575,2.625957052169749,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,2.9221428571428576,2.9795774226428575,2.4879814571046883,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,2.9221428571428576,2.9795774226428575,2.488808125604495,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,2.9221428571428576,2.9795774226428575,2.488808125604495,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,2.9221428571428576,2.9795774226428575,2.64687951875701,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,2.9221428571428576,2.9795774226428575,2.64687951875701,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,2.9221428571428576,2.9795774226428575,2.7185929734106233,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,2.9221428571428576,2.9795774226428575,2.9325646879390397,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,2.9221428571428576,2.9795774226428575,2.899912906965144,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,2.9221428571428576,2.9795774226428575,2.897265923976999,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,7.987500000000001,2.38589625475,2.2018193038176137,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,7.987500000000001,2.38589625475,2.2018193038176137,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,7.987500000000001,2.38589625475,2.2018193038176137,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,7.987500000000001,2.38589625475,2.2018193038176137,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,7.987500000000001,2.38589625475,2.2018193038176137,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,7.987500000000001,2.38589625475,2.246589265291052,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,7.987500000000001,2.38589625475,2.246589265291052,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,7.987500000000001,2.38589625475,2.27671115856253,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,7.987500000000001,2.38589625475,2.27671115856253,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,7.987500000000001,2.38589625475,2.27671115856253,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,7.987500000000001,2.38589625475,2.27671115856253,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,7.987500000000001,2.38589625475,2.271871033776824,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,7.987500000000001,2.38589625475,2.2676217868705852,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,7.987500000000001,2.38589625475,2.3159764135190475,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,7.987500000000001,2.38589625475,2.3814836507173136,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,7.987500000000001,2.38589625475,2.4390225364062728,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,7.987500000000001,2.38589625475,2.2018193038176137,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,7.987500000000001,2.38589625475,2.162973072732978,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,7.987500000000001,2.38589625475,2.1292192461014436,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,7.987500000000001,2.38589625475,2.1765922667443394,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,7.987500000000001,2.38589625475,2.1966517424332297,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,7.987500000000001,2.38589625475,2.3130278542601164,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,7.987500000000001,2.38589625475,2.216136932401227,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,7.987500000000001,2.38589625475,2.2561029790114575,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,7.987500000000001,2.38589625475,2.3287683765799025,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,7.987500000000001,2.38589625475,2.144889846304653,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,7.987500000000001,2.38589625475,2.1457165148044597,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,7.987500000000001,2.38589625475,2.1457165148044597,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,7.987500000000001,2.38589625475,2.4292281158553184,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,7.987500000000001,2.38589625475,2.4292281158553184,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,7.987500000000001,2.38589625475,2.4950403962611873,train
